Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-51984-3367-6,192.168.1.13,51984,192.168.1.3,3367,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-33782-18040-6,192.168.1.13,33782,192.168.1.3,18040,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-45446-106-6,192.168.1.13,45446,192.168.1.3,106,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-39446-53-6,192.168.1.13,39446,192.168.1.3,53,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-35484-1137-6,192.168.1.13,35484,192.168.1.3,1137,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-36386-4000-6,192.168.1.13,36386,192.168.1.3,4000,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-42658-10628-6,192.168.1.13,42658,192.168.1.3,10628,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-58542-4848-6,192.168.1.13,58542,192.168.1.3,4848,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-37428-8000-6,192.168.1.13,37428,192.168.1.3,8000,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-37424-340-6,192.168.1.13,37424,192.168.1.3,340,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-45454-3071-6,192.168.1.13,45454,192.168.1.3,3071,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-36562-5825-6,192.168.1.13,36562,192.168.1.3,5825,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-53808-3031-6,192.168.1.13,53808,192.168.1.3,3031,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-45176-15660-6,192.168.1.13,45176,192.168.1.3,15660,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-58874-8200-6,192.168.1.13,58874,192.168.1.3,8200,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-56780-2065-6,192.168.1.13,56780,192.168.1.3,2065,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-35908-84-6,192.168.1.13,35908,192.168.1.3,84,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-52204-1078-6,192.168.1.13,52204,192.168.1.3,1078,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-53854-5226-6,192.168.1.13,53854,192.168.1.3,5226,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-53484-2710-6,192.168.1.13,53484,192.168.1.3,2710,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-58732-32785-6,192.168.1.13,58732,192.168.1.3,32785,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-60334-1805-6,192.168.1.13,60334,192.168.1.3,1805,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-60068-2068-6,192.168.1.13,60068,192.168.1.3,2068,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-60098-1186-6,192.168.1.13,60098,192.168.1.3,1186,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-54310-51493-6,192.168.1.13,54310,192.168.1.3,51493,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-50266-20031-6,192.168.1.13,50266,192.168.1.3,20031,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-37830-2005-6,192.168.1.13,37830,192.168.1.3,2005,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-42426-8654-6,192.168.1.13,42426,192.168.1.3,8654,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-34350-32783-6,192.168.1.13,34350,192.168.1.3,32783,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-44782-9110-6,192.168.1.13,44782,192.168.1.3,9110,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-38484-7777-6,192.168.1.13,38484,192.168.1.3,7777,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-49686-7920-6,192.168.1.13,49686,192.168.1.3,7920,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-55228-1122-6,192.168.1.13,55228,192.168.1.3,1122,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-52052-3826-6,192.168.1.13,52052,192.168.1.3,3826,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-60040-8443-6,192.168.1.13,60040,192.168.1.3,8443,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-57492-1090-6,192.168.1.13,57492,192.168.1.3,1090,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-34982-45100-6,192.168.1.13,34982,192.168.1.3,45100,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-45264-2967-6,192.168.1.13,45264,192.168.1.3,2967,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-43766-1974-6,192.168.1.13,43766,192.168.1.3,1974,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-49772-2382-6,192.168.1.13,49772,192.168.1.3,2382,6,21/11/2024 03:42:13 PM
